timestamp,x,angle,x_target,phi_target,pwm_x,pwm_phi,,,,theta1,theta2
0.063,0,0,1.6,20,0,0,,,,0,-0.0016
0.116,0,0,1.6,20,0,0,,,,0.0006,-0.0016
0.17,0,0,1.6,20,0,0,,,,0.0004,-0.0016
0.241,0,0,1.6,20,0,0,,,,0.0009,-0.0016
0.295,0,0,1.6,20,0,0,,,,0.0012,-0.0016
0.356,0,0,1.6,20,0,0,,,,0.0013,-0.0016
0.43,0,0,1.6,20,0,0,,,,0.0014,-0.001
0.491,0,0,1.6,20,1,0,,,,0.0009,-0.0006
0.556,0,0,1.6,20,1,1,,,,0.0005,-0.0003
0.607,0,0,1.6,20,1,1,,,,0.0003,0.0004
0.675,0,0,1.6,20,1,1,,,,0.0002,0.0009
0.731,0,0,1.6,20,1,2,,,,0.0001,0.0012
0.807,0,0,1.6,20,2,2,,,,0.0001,0.0013
0.867,0,-0.005,1.6,20,2,3,,,,0,0.0014
0.924,0,-0.005,1.6,20,3,4,,,,0,0.0009
0.981,0,-0.005,1.6,20,4,4,,,,-0.0006,0.0005
1.042,0,-0.005,1.6,20,4,5,,,,-0.0004,0.001
1.121,0,-0.005,1.6,20,5,6,,,,-0.0002,-0.0001
1.178,0,-0.005,1.6,20,7,8,,,,-0.0001,-0.0007
1.245,0,-0.005,1.6,20,8,9,,,,-0.0001,-0.001
1.308,0,-0.005,1.6,20,9,11,,,,0,-0.0013
1.383,0,-0.005,1.6,20,11,13,,,,0,-0.0008
1.434,0,-0.005,1.6,20,13,15,,,,0,-0.0005
1.51,0,-0.005,1.6,20,14,16,,,,0,-0.0009
1.56,0,-0.005,1.6,20,17,19,,,,0,-0.0012
1.623,0,-0.005,1.6,20,19,21,,,,0,-0.0007
1.701,0,-0.005,1.6,20,21,24,,,,0,-0.0011
1.746,0,-0.005,1.6,20,24,28,,,,0,-0.0013
1.816,0,-0.005,1.6,20,26,30,,,,0,-0.0008
1.878,0,-0.005,1.6,20,30,34,,,,0,0.0002
1.938,0,-0.005,1.6,20,33,38,,,,0,0.0007
2.011,0,-0.005,1.6,20,36,41,,,,0,0.0004
2.068,0,-0.005,1.6,20,40,46,,,,0,0.0003
2.122,0,-0.005,1.6,20,43,50,,,,0,0.0008
2.194,0,-0.005,1.6,20,46,54,,,,0,0.0005
2.263,0,-0.005,1.6,20,51,59,,,,0,-0.0004
2.308,0,-0.005,1.6,20,56,65,,,,0,-0.0002
2.35,0,-0.005,1.6,20,60,69,,,,-0.0006,-0.0001
2.416,0,-0.005,1.6,20,63,73,,,,-0.0004,-0.0001
2.474,0,-0.005,1.6,20,68,78,,,,-0.0002,-0.0007
2.544,0,-0.005,1.6,20,73,84,,,,-0.0001,-0.0011
2.591,0,-0.005,1.6,20,79,91,,,,-0.0001,-0.0006
2.666,0,-0.005,1.6,20,83,97,,,,0,-0.0017
2.728,0,-0.005,1.6,20,90,100,,,,0,-0.0016
2.795,0,-0.005,1.6,20,97,100,,,,0.0006,-0.0016
2.843,0,-0.005,1.6,20,100,100,,,,0.0004,-0.001
2.916,0,-0.005,1.6,20,100,100,,,,0.0002,-0.0012
2.975,0,-0.005,1.6,20,100,100,,,,0.0001,-0.0007
3.041,0,-0.005,1.6,20,100,100,,,,0.0001,-0.0004
3.099,0,-0.005,1.6,20,100,100,,,,0,-0.0003
3.16,0,0.017,1.6,20,100,100,,,,-0.0019,-0.0002
3.227,0.12,0.017,1.6,20,100,100,,,,-0.0031,-0.0001
3.291,0.12,0.017,1.6,20,100,100,,,,-0.0057,-0.0058
3.359,0.12,0.017,1.6,20,100,100,,,,-0.0079,-0.0131
3.404,0.12,0.017,1.6,20,100,100,,,,-0.0092,-0.0175
3.473,0.12,1,1.6,20,100,100,,,,-0.01,-0.0201
3.535,0.2775,1,1.6,20,100,100,,,,-0.0105,-0.0216
3.596,0.2775,1,1.6,20,71,100,,,,-0.0108,-0.0226
3.658,0.2775,1,1.6,20,80,100,,,,-0.0109,-0.0231
