timestamp,x,angle,theta1,theta2,x_target,phi_target,pwm_x,pwm_phi
0.067,0.0000,0.0820,0.0000,-0.0045,1.6000,20.0000,0,0
0.110,0.0000,0.0820,-0.0015,-0.0015,1.6000,20.0000,1,24
0.174,0.0000,0.0820,0.0000,-0.0015,1.6000,20.0000,5,100
0.203,0.0000,0.0820,0.0000,-0.0015,1.6000,20.0000,12,100
0.246,0.0000,0.0820,0.0000,-0.0015,1.6000,20.0000,15,100
0.305,0.0000,0.0820,0.0000,-0.0015,1.6000,20.0000,19,100
0.365,0.0000,0.0820,0.0015,-0.0015,1.6000,20.0000,25,100
0.425,0.0000,0.0820,0.0015,-0.0015,1.6000,20.0000,30,100
0.460,0.0000,0.0820,0.0015,-0.0015,1.6000,20.0000,36,100
0.525,0.0000,0.0820,0.0030,-0.0015,1.6000,20.0000,40,100
0.585,0.0000,0.0820,0.0030,-0.0015,1.6000,20.0000,45,100
0.645,0.0000,0.0820,0.0045,-0.0030,1.6000,20.0000,51,100
0.678,0.0000,0.0820,0.0060,-0.0030,1.6000,20.0000,56,100
0.737,0.0000,0.0820,0.0060,-0.0030,1.6000,20.0000,59,100
0.769,0.0000,0.0820,0.0060,-0.0060,1.6000,20.0000,64,100
0.802,0.0000,0.1590,0.0030,-0.0075,1.6000,20.0000,67,100
0.833,0.0000,0.1590,0.0060,-0.0120,1.6000,20.0000,69,100
0.870,0.0000,0.1590,0.0075,-0.0150,1.6000,20.0000,72,100
0.925,0.0000,0.1590,0.0060,-0.0150,1.6000,20.0000,75,100
0.960,0.0000,0.1590,0.0045,-0.0180,1.6000,20.0000,79,100
1.020,0.0000,0.1590,0.0015,-0.0240,1.6000,20.0000,82,100
1.083,0.0000,0.1590,0.0015,-0.0240,1.6000,20.0000,86,100
1.146,0.0000,1.5380,-0.0030,-0.0374,1.6000,20.0000,90,100
1.210,0.0000,1.5380,-0.0030,-0.0374,1.6000,20.0000,95,100
1.270,0.0000,1.5380,-0.0030,-0.0374,1.6000,20.0000,99,100
1.303,0.0000,1.5380,-0.0030,-0.0374,1.6000,20.0000,100,100
1.335,0.0000,1.5380,-0.0030,-0.0389,1.6000,20.0000,100,100
1.367,0.0000,1.5380,-0.0045,-0.0359,1.6000,20.0000,100,100
1.402,0.0000,1.5380,-0.0030,-0.0359,1.6000,20.0000,100,100
1.431,0.0000,1.5380,-0.0030,-0.0359,1.6000,20.0000,100,100
1.467,0.0000,3.2570,-0.0060,-0.0240,1.6000,20.0000,100,100
1.501,0.0000,3.2570,-0.0060,-0.0225,1.6000,20.0000,100,100
1.564,0.1300,3.2570,-0.0045,-0.0150,1.6000,20.0000,100,100
1.629,0.1300,3.2570,-0.0030,-0.0060,1.6000,20.0000,100,100
1.692,0.1300,3.2570,-0.0015,-0.0015,1.6000,20.0000,100,100
1.755,0.1300,3.2570,-0.0015,0.0030,1.6000,20.0000,100,100
1.806,0.1300,4.1910,0.0000,0.0210,1.6000,20.0000,100,100
1.841,0.1300,4.1910,0.0030,0.0240,1.6000,20.0000,100,100
1.879,0.2950,4.1910,0.0015,0.0255,1.6000,20.0000,100,100
1.933,0.2950,4.1910,-0.0015,0.0285,1.6000,20.0000,100,100
1.968,0.2950,4.1910,0.0000,0.0300,1.6000,20.0000,100,100
2.118,0.2950,5.2130,0.0015,0.0300,1.6000,20.0000,100,100
2.153,0.2950,5.2130,0.0015,0.0240,1.6000,20.0000,100,100
2.186,0.2950,5.2130,0.0030,0.0210,1.6000,20.0000,100,100
2.222,0.4725,5.2130,0.0030,0.0180,1.6000,20.0000,100,100
2.281,0.4725,5.2130,0.0060,0.0120,1.6000,20.0000,100,100
2.351,0.4725,5.2130,0.0060,0.0000,1.6000,20.0000,100,100
2.411,0.4725,5.2130,0.0045,-0.0030,1.6000,20.0000,100,100
2.477,0.4725,6.3610,0.0060,-0.0090,1.6000,20.0000,100,100
2.533,0.6475,6.3610,0.0015,-0.0180,1.6000,20.0000,100,100
2.594,0.6475,6.3610,0.0030,-0.0225,1.6000,20.0000,100,100
2.655,0.6475,6.3610,0.0030,-0.0240,1.6000,20.0000,100,100
2.716,0.6475,6.3610,0.0045,-0.0329,1.6000,20.0000,100,100
2.780,0.6475,6.3610,0.0015,-0.0419,1.6000,20.0000,100,100
2.847,0.8250,7.6350,0.0015,-0.0419,1.6000,20.0000,100,100
2.914,0.8250,7.6350,0.0015,-0.0419,1.6000,20.0000,100,100
2.967,0.8250,7.6350,0.0060,-0.0419,1.6000,20.0000,100,100
3.028,0.8250,7.6350,0.0030,-0.0359,1.6000,20.0000,100,100
3.087,0.8250,7.6350,0.0015,-0.0285,1.6000,20.0000,100,100
3.120,0.8250,8.4870,0.0000,-0.0240,1.6000,20.0000,100,100
3.184,1.0050,8.4870,-0.0030,-0.0165,1.6000,20.0000,100,100
3.252,1.0050,8.4870,-0.0030,-0.0150,1.6000,20.0000,100,100
3.310,1.0050,8.4870,-0.0045,-0.0135,1.6000,20.0000,100,100
3.372,1.0050,8.4870,-0.0030,-0.0075,1.6000,20.0000,100,100
3.433,1.0050,9.5740,-0.0030,-0.0015,1.6000,20.0000,100,100
3.496,1.1700,9.5740,-0.0060,0.0045,1.6000,20.0000,100,100
3.557,1.1700,9.5740,-0.0045,0.0060,1.6000,20.0000,100,100
3.623,1.1700,9.5740,-0.0030,0.0120,1.6000,20.0000,100,100
3.683,1.1700,9.5740,-0.0045,0.0135,1.6000,20.0000,100,100
3.747,1.1700,9.5740,-0.0045,0.0135,1.6000,20.0000,100,100
3.812,1.1700,10.9640,-0.0045,0.0135,1.6000,20.0000,100,100
3.872,1.3350,10.9640,-0.0045,0.0120,1.6000,20.0000,100,100
3.931,1.3350,10.9640,-0.0015,0.0075,1.6000,20.0000,100,100
3.995,1.3350,10.9640,0.0000,0.0045,1.6000,20.0000,100,100
4.056,1.3350,10.9640,0.0075,-0.0120,1.6000,20.0000,100,100
4.117,1.3350,12.0350,0.0090,-0.0150,1.6000,20.0000,100,100
4.181,1.4400,12.0350,0.0075,-0.0180,1.6000,20.0000,100,100
4.239,1.4400,12.0350,0.0030,-0.0255,1.6000,20.0000,100,100
4.303,1.4400,12.0350,0.0060,-0.0315,1.6000,20.0000,100,100
4.376,1.4400,12.0350,0.0060,-0.0374,1.6000,20.0000,100,100
4.424,1.4400,13.0240,0.0060,-0.0374,1.6000,20.0000,100,100
4.463,1.4400,13.0240,0.0075,-0.0404,1.6000,20.0000,100,100
4.531,1.6150,13.0240,0.0075,-0.0419,1.6000,20.0000,100,100
4.577,1.6150,13.0240,0.0075,-0.0404,1.6000,20.0000,100,100
4.638,1.6150,13.0240,0.0060,-0.0404,1.6000,20.0000,100,100
4.718,1.6150,13.0240,0.0015,-0.0389,1.6000,20.0000,100,100
4.783,1.6150,13.9250,0.0000,-0.0255,1.6000,20.0000,100,100
4.858,1.7900,13.9250,-0.0015,-0.0240,1.6000,20.0000,100,100
4.917,1.7900,13.9250,-0.0045,-0.0210,1.6000,20.0000,100,100
4.984,1.7900,13.9250,-0.0090,-0.0105,1.6000,20.0000,98,100
5.045,1.7900,13.9250,-0.0090,-0.0060,1.6000,20.0000,94,100
5.107,1.7900,14.7760,-0.0090,-0.0030,1.6000,20.0000,90,100
5.165,1.9600,14.7760,-0.0120,0.0015,1.6000,20.0000,85,100
5.234,1.9600,14.7760,-0.0120,0.0015,1.6000,20.0000,82,100
5.291,1.9600,14.7760,-0.0105,0.0015,1.6000,20.0000,76,100
5.353,1.9600,14.7760,-0.0150,0.0060,1.6000,20.0000,72,100
5.419,1.9600,15.8690,-0.0075,-0.0015,1.6000,20.0000,67,100
5.480,1.9600,15.8690,-0.0090,-0.0015,1.6000,20.0000,61,100
5.541,2.1075,15.8690,-0.0105,0.0015,1.6000,20.0000,56,100
5.604,2.1075,15.8690,0.0000,-0.0075,1.6000,20.0000,51,100
5.669,2.1075,15.8690,-0.0015,-0.0105,1.6000,20.0000,45,100
5.731,2.1075,15.8690,0.0000,-0.0135,1.6000,20.0000,39,100
5.797,2.1075,17.2100,0.0015,-0.0165,1.6000,20.0000,33,100
5.845,2.1075,17.2100,0.0120,-0.0180,1.6000,20.0000,27,100
5.919,2.1075,17.2100,0.0105,-0.0180,1.6000,20.0000,23,100
5.983,2.1075,17.2100,0.0150,-0.0225,1.6000,20.0000,15,100
6.047,2.1075,17.2100,0.0150,-0.0225,1.6000,20.0000,8,100
6.108,2.1075,18.0280,0.0150,-0.0240,1.6000,20.0000,2,37
6.169,2.1075,18.0280,0.0150,-0.0240,1.6000,20.0000,2,37
6.234,2.1075,18.0280,0.0150,-0.0240,1.6000,20.0000,2,37
6.296,2.1075,18.0280,0.0120,-0.0240,1.6000,20.0000,2,37
6.356,2.1075,18.0280,0.0105,-0.0240,1.6000,20.0000,2,37
6.420,2.1075,18.8740,0.0075,-0.0240,1.6000,20.0000,2,37
6.485,2.1075,18.8740,0.0000,-0.0195,1.6000,20.0000,2,37
6.532,2.1075,18.8740,-0.0030,-0.0165,1.6000,20.0000,2,37
6.605,2.1075,18.8740,-0.0045,-0.0165,1.6000,20.0000,2,37
6.674,2.1075,18.8740,-0.0105,-0.0090,1.6000,20.0000,2,37
6.719,2.1075,18.8740,-0.0120,-0.0045,1.6000,20.0000,2,37
6.794,2.1075,19.6650,-0.0165,-0.0015,1.6000,20.0000,2,37
6.854,2.1075,19.6650,-0.0180,0.0000,1.6000,20.0000,2,37
6.917,2.1075,19.6650,-0.0150,0.0045,1.6000,20.0000,2,37
6.984,2.1075,19.6650,-0.0150,0.0075,1.6000,20.0000,2,37
7.043,2.1075,19.6600,-0.0150,0.0075,1.6000,20.0000,2,37
7.106,2.1075,19.6600,-0.0120,0.0225,1.6000,20.0000,2,37
7.166,2.1075,19.6600,-0.0105,0.0240,1.6000,20.0000,2,37
7.255,2.1075,19.6600,-0.0090,0.0225,1.6000,20.0000,2,37
7.349,2.1075,19.6600,0.0000,0.0135,1.6000,20.0000,2,37
7.402,2.1075,19.0010,0.0045,0.0090,1.6000,20.0000,2,37
7.465,2.1075,19.0010,0.0120,-0.0030,1.6000,20.0000,2,37
7.501,2.1075,19.0010,0.0105,0.0000,1.6000,20.0000,2,37
7.563,2.1075,19.0010,0.0150,-0.0090,1.6000,20.0000,2,37
7.626,2.1075,19.0010,0.0165,-0.0165,1.6000,20.0000,2,37
7.686,2.1075,18.6820,0.0135,-0.0150,1.6000,20.0000,2,37
7.743,2.1075,18.6820,0.0135,-0.0315,1.6000,20.0000,2,37
7.779,2.1075,18.6820,0.0150,-0.0389,1.6000,20.0000,2,37
7.839,2.1075,18.6820,0.0150,-0.0389,1.6000,20.0000,2,37
7.913,2.1075,18.6820,0.0150,-0.0449,1.6000,20.0000,2,37
7.973,2.1075,18.6820,0.0135,-0.0479,1.6000,20.0000,2,37
8.032,2.1075,18.2970,0.0030,-0.0479,1.6000,20.0000,2,37
