t,x,v,a,phi,phi_v,phi_a
0.0,0.0,0.0,0.0003655400686201441,0.0,0.0,0.004569250857751801
0.01,3.655400686201441e-08,3.6554006862014413e-06,0.000731075126504758,4.569250857751802e-07,4.569250857751802e-05,0.009138439081309476
0.02,1.82769032162966e-07,1.4621502530095161e-05,0.001462130210215425,2.2846129020370756e-06,0.00018276878162618954,0.018276627627692815
0.03,5.117490810680654e-07,3.289800489050994e-05,0.0021931452088885806,6.396863513350819e-06,0.0004112250611313743,0.027414315111107257
0.04,1.0965931481467331e-06,5.848440670786677e-05,0.0029241000813777043,1.3707414351834166e-05,0.0007310550838483347,0.03655125101722131
0.05,2.0103932133273737e-06,9.138000651806402e-05,0.003654974788185328,2.5129915166592172e-05,0.0011422500814758005,0.0456871848523166
0.06,3.326232238043107e-06,0.00013158390247157333,0.0043857492920137044,4.157790297553884e-05,0.0016447987808946667,0.0548218661501713
0.07,5.1171821616264875e-06,0.0001790949923583381,0.005116403558309557,6.39647770203311e-05,0.0022386874044792266,0.06395504447886947
0.08,7.456301898004132e-06,0.00023391197363776446,0.005846917555816233,9.320377372505167e-05,0.002923899670472056,0.07308646944770292
0.09,1.041663533275076e-05,0.0002960333434746628,0.006577271257127334,0.00013020794165938452,0.003700416793433285,0.08221589071409166
0.1,1.407120932055387e-05,0.00036545739878031115,0.0073074446392225765,0.0001758901165069234,0.004568217484753889,0.09134305799028221
0.11,1.8493031683145013e-05,0.0004421822362591143,0.008037417684030325,0.00023116289603931271,0.005527277953238929,0.10046772105037904
0.12,2.375508920775419e-05,0.0005262057524609177,0.008767170378973791,0.0002969386150969274,0.00657757190576147,0.10958962973717234
0.13,2.9930345646140087e-05,0.0006175256438385901,0.00949668271751284,0.0003741293205767512,0.007719070547982376,0.11870853396891058
0.14,3.709173971425183e-05,0.0007161394068111745,0.010225934699697639,0.000463646746428148,0.008951742585139682,0.12782418374622057
0.15,4.531218309257726e-05,0.0008220443378325429,0.010954906332716341,0.0005664022886572159,0.010275554222906788,0.13693632915895426
0.16,5.4664558427232275e-05,0.0009352375334655013,0.011683577631445745,0.0006833069803404035,0.011690469168318767,0.14604472039307187
0.17,6.522171733184685e-05,0.0010557158904614579,0.012411928618991656,0.0008152714666480858,0.013196448630768225,0.15514910773739565
0.18,7.70564783903002e-05,0.0011834761058453344,0.013139939327242443,0.0009632059798787526,0.01479345132306668,0.16424924159053056
0.19,9.024162516036327e-05,0.0013185146770063067,0.013867589797422752,0.001128020314504541,0.016481433462578837,0.1733448724677844
0.2,0.00010484990417830117,0.0014608279017937894,0.014594860080621903,0.0013106238022287647,0.01826034877242237,0.18243575100777373
0.21,0.00012095402296448862,0.0016104118786187448,0.01532173023835792,0.001511925287056108,0.02013014848273431,0.19152162797947403
0.22,0.0001386266480300981,0.0017672625065609478,0.01604818034312228,0.0017328331003762262,0.02209078133201185,0.20060225428902845
0.23,0.00015794040288491,0.0019313754854811903,0.01677419047891427,0.001974255036061375,0.02414219356851488,0.2096773809864283
0.24,0.00017896786604630234,0.0021027463161392332,0.017499740741802064,0.002237098325578779,0.026284328951740415,0.21874675927252563
0.25,0.00020178156904947464,0.0022813703003172316,0.018224811240457033,0.002522269613118433,0.028517128753965393,0.22781014050571313
0.26,0.00022645399445895837,0.002467242540948374,0.018949382096704586,0.00283067493073698,0.030840531761854677,0.23686727620880754
0.27,0.00025305757388147164,0.0026603579422513233,0.019673433446070202,0.0031632196735183957,0.033254474278141544,0.24591791807587765
0.28,0.0002816646859801694,0.002860711209869778,0.020396945438319797,0.0035208085747521177,0.03575889012337223,0.2549618179789975
0.29,0.0003123476544903466,0.0030682968510177193,0.021119898238007497,0.0039043456811293327,0.03835371063772149,0.2639987279750934
0.3,0.0003451787462366459,0.003283109174629928,0.021842272025017397,0.004314734327958074,0.0410388646828741,0.2730284003127175
